Fecha,Cliente,Asunto,Abogado,Horas,Tarifa_hora,Total
2024-03-06,Restaurantes Sol de Cádiz S.L.,Negociación con arrendador - reunión 1,Ana Castillo,3,150,450
2024-03-11,Restaurantes Sol de Cádiz S.L.,Negociación con arrendador - reunión 2,Ana Castillo,2,150,300
2024-03-13,Restaurantes Sol de Cádiz S.L.,Redacción contraoferta y cláusulas,Ana Castillo,3,150,450
2024-03-15,Restaurantes Sol de Cádiz S.L.,Coordinación con arquitecto,Ana Castillo,1,150,150
2024-03-15,Restaurantes Sol de Cádiz S.L.,Apoyo jurídico arrendamiento,Marcos Reyes,2,120,240
2024-03-20,Dra. Patricia Fuentes,Preparación vista oral - estrategia,Ana Castillo,4,150,600
2024-03-25,Dra. Patricia Fuentes,Coordinación con aseguradora Zurich,Ana Castillo,3,150,450
2024-04-02,Dra. Patricia Fuentes,Preparación vista oral y testigos,Ana Castillo,4,150,600
2024-04-10,Dra. Patricia Fuentes,Reunión preparación con Dra. Fuentes,Ana Castillo,4,150,600
2024-04-15,Dra. Patricia Fuentes,Asistencia a vista oral,Ana Castillo,4,150,600
2024-04-16,Dra. Patricia Fuentes,Gestiones post-vista,Marcos Reyes,3,120,360
2024-04-22,Dra. Patricia Fuentes,Gestiones post-vista (cont.),Marcos Reyes,2,120,240
2024-05-06,Dra. Patricia Fuentes,Estudio sentencia y preparación apelación,Ana Castillo,5,150,750
2024-05-13,Dra. Patricia Fuentes,Redacción recurso de apelación,Ana Castillo,8,150,1200
2024-05-20,Dra. Patricia Fuentes,Revisión y presentación recurso,Ana Castillo,3,150,450
2024-05-10,Importaciones Delgado S.A.,Compraventa nave industrial - estudio,Ana Castillo,3,150,450
2024-05-15,Importaciones Delgado S.A.,Compraventa nave - borrador contrato,Ana Castillo,4,150,600
2024-05-20,Importaciones Delgado S.A.,Medidas cautelares vs Tekstil Ankara,Ana Castillo,4,150,600
2024-05-22,Importaciones Delgado S.A.,Medidas cautelares - escrito,Marcos Reyes,3,120,360
2024-06-03,Grupo Navarro S.L.,Asesoramiento societario trimestral,Ana Castillo,2,150,300
2024-06-10,Grupo Navarro S.L.,Revisión contrato comercial,Ana Castillo,3,150,450
2024-06-12,Grupo Navarro S.L.,Revisión contrato comercial,Marcos Reyes,2,120,240
2024-06-15,Restaurantes Sol de Cádiz S.L.,Seguimiento recurso suplicación,Marcos Reyes,2,120,240
2024-06-20,Restaurantes Sol de Cádiz S.L.,Cierre negociación arrendamiento,Ana Castillo,3,150,450
2024-07-05,Grupo Navarro S.L.,Consulta fiscal ampliación,Ana Castillo,2,150,300
2024-07-10,Importaciones Delgado S.A.,Seguimiento medidas cautelares,Marcos Reyes,2,120,240
2024-07-15,Dra. Patricia Fuentes,Seguimiento recurso apelación,Ana Castillo,1,150,150
2024-08-02,Grupo Navarro S.L.,Consulta laboral,Ana Castillo,2,150,300
2024-08-15,Restaurantes Sol de Cádiz S.L.,Revisión licencia actividad,Marcos Reyes,3,120,360
2024-09-05,Grupo Navarro S.L.,Preparación junta ordinaria,Ana Castillo,3,150,450
2024-09-10,Grupo Navarro S.L.,Preparación junta ordinaria,Marcos Reyes,2,120,240
2024-09-15,Importaciones Delgado S.A.,Reclamación patrimonial demoras,Ana Castillo,3,150,450
2024-10-01,Grupo Navarro S.L.,Asesoramiento apertura Valencia,Ana Castillo,4,150,600
2024-10-08,Grupo Navarro S.L.,Asesoramiento apertura Valencia,Marcos Reyes,3,120,360
2024-10-15,Restaurantes Sol de Cádiz S.L.,Seguimiento caso laboral TSJ,Marcos Reyes,2,120,240
2024-10-20,Dra. Patricia Fuentes,Seguimiento apelación AP,Ana Castillo,2,150,300
2024-11-05,Grupo Navarro S.L.,Revisión contratos laborales,Ana Castillo,3,150,450
2024-11-10,Importaciones Delgado S.A.,Resolución medidas cautelares,Marcos Reyes,2,120,240
2024-11-15,Cooperativa AgriVerde,Consulta nueva normativa PAC 2025,Ana Castillo,2,150,300
2024-12-01,Grupo Navarro S.L.,Cierre anual y planificación 2025,Ana Castillo,3,150,450
2024-12-10,Restaurantes Sol de Cádiz S.L.,Revisión situación laboral,Marcos Reyes,2,120,240
2024-12-15,Importaciones Delgado S.A.,Cierre expediente aduanero,Ana Castillo,2,150,300
